alpha,mu,participation,promote,oppose
0.1,31.0,1.0,0.0,0.05
0.02,36.0,1.0,0.0,0.09
0.18,28.0,1.0,0.0,0.0
0.0,38.0,1.0,0.0,0.12
0.22,1.0,0.0,0.73,0.0
0.16,3.0,0.13,0.74,0.0
0.0,16.0,1.0,0.0,0.0
0.2,27.0,1.0,0.0,0.0
0.06,33.0,1.0,0.0,0.05
0.16,29.0,1.0,0.0,0.0
0.08,35.0,1.0,0.0,0.12999999999999998
0.24,25.0,1.0,0.0,0.0
0.14,31.0,1.0,0.0,0.12
0.04,37.0,1.0,0.0,0.12999999999999998
0.12,33.0,1.0,0.0,0.12999999999999998
0.22,50.0,1.0,0.0,0.05
0.1,32.0,1.0,0.0,0.09
0.18,29.0,1.0,0.0,0.0
0.02,37.0,1.0,0.0,0.12
0.0,39.0,1.0,0.0,0.12999999999999998
0.0,17.0,1.0,0.0,0.0
0.2,28.0,1.0,0.0,0.0
0.06,34.0,1.0,0.0,0.09
0.22,26.0,1.0,0.0,0.0
0.08,36.0,1.0,0.0,0.1
0.24,26.0,1.0,0.0,0.0
0.14,32.0,1.0,0.0,0.12999999999999998
0.04,38.0,1.0,0.0,0.1
0.24,0.0,0.0,0.72,0.0
0.12,34.0,1.0,0.0,0.1
0.18,30.0,1.0,0.0,0.0
0.1,33.0,1.0,0.0,0.12
0.0,40.0,1.0,0.0,0.1
0.02,38.0,1.0,0.0,0.12999999999999998
0.0,18.0,1.0,0.0,0.0
0.2,29.0,1.0,0.0,0.0
0.16,30.0,1.0,0.0,0.0
0.06,35.0,1.0,0.0,0.12
0.08,37.0,1.0,0.0,0.09
0.24,27.0,1.0,0.0,0.0
0.14,33.0,1.0,0.0,0.1
0.24,1.0,0.0,0.6799999999999999,0.0
0.04,39.0,1.0,0.0,0.09
0.12,35.0,1.0,0.0,0.09
0.18,31.0,1.0,0.0,0.1
0.1,34.0,1.0,0.0,0.12999999999999998
0.0,41.0,1.0,0.0,0.09
0.02,39.0,1.0,0.0,0.1
0.0,19.0,1.0,0.0,0.0
0.2,30.0,1.0,0.0,0.0
0.22,27.0,1.0,0.0,0.0
0.24,2.0,0.1,0.6900000000000001,0.0
0.06,36.0,1.0,0.0,0.12999999999999998
0.08,38.0,1.0,0.0,0.14
0.24,28.0,1.0,0.0,0.0
0.14,34.0,1.0,0.0,0.09
0.04,40.0,1.0,0.0,0.14
0.12,36.0,1.0,0.0,0.14
0.18,32.0,1.0,0.0,0.09
0.1,35.0,1.0,0.0,0.1
0.0,42.0,1.0,0.0,0.14
0.02,40.0,1.0,0.0,0.09
0.0,20.0,1.0,0.0,0.0
0.2,31.0,1.0,0.0,0.09
0.16,31.0,1.0,0.0,0.12999999999999998
0.08,39.0,1.0,0.0,0.11000000000000001
0.06,37.0,1.0,0.0,0.1
0.24,29.0,1.0,0.0,0.0
0.14,35.0,1.0,0.0,0.14
0.04,41.0,1.0,0.0,0.11000000000000001
0.12,37.0,1.0,0.0,0.11000000000000001
0.18,33.0,1.0,0.0,0.14
0.1,36.0,1.0,0.0,0.09
0.0,43.0,1.0,0.0,0.11000000000000001
0.02,41.0,1.0,0.0,0.14
0.0,21.0,1.0,0.0,0.0
0.22,28.0,1.0,0.0,0.0
0.2,32.0,1.0,0.0,0.14
0.08,40.0,1.0,0.0,0.06999999999999999
0.06,38.0,1.0,0.0,0.09
0.24,30.0,1.0,0.0,0.0
0.14,36.0,1.0,0.0,0.11000000000000001
0.04,42.0,1.0,0.0,0.06999999999999999
0.12,38.0,1.0,0.0,0.06999999999999999
0.18,34.0,1.0,0.0,0.11000000000000001
0.1,37.0,1.0,0.0,0.14
0.0,44.0,1.0,0.0,0.06999999999999999
0.02,42.0,1.0,0.0,0.11000000000000001
0.0,22.0,1.0,0.0,0.0
0.16,32.0,1.0,0.0,0.1
0.2,33.0,1.0,0.0,0.11000000000000001
0.08,41.0,1.0,0.0,0.10999999999999999
0.24,31.0,1.0,0.0,0.11000000000000001
0.14,37.0,1.0,0.0,0.06999999999999999
0.06,39.0,1.0,0.0,0.14
0.04,43.0,1.0,0.0,0.10999999999999999
0.12,39.0,1.0,0.0,0.10999999999999999
0.18,35.0,1.0,0.0,0.06999999999999999
0.1,38.0,1.0,0.0,0.11000000000000001
0.0,45.0,1.0,0.0,0.10999999999999999
0.02,43.0,1.0,0.0,0.06999999999999999
0.0,23.0,1.0,0.0,0.0
0.16,33.0,1.0,0.0,0.09
0.2,34.0,1.0,0.0,0.06999999999999999
0.08,42.0,1.0,0.0,0.06000000000000001
0.24,32.0,1.0,0.0,0.06999999999999999
0.22,29.0,1.0,0.0,0.0
0.06,40.0,1.0,0.0,0.11000000000000001
0.14,38.0,1.0,0.0,0.10999999999999999
0.04,44.0,1.0,0.0,0.06000000000000001
0.12,40.0,1.0,0.0,0.06000000000000001
0.18,36.0,1.0,0.0,0.10999999999999999
0.0,46.0,1.0,0.0,0.06000000000000001
0.1,39.0,1.0,0.0,0.06999999999999999
0.02,44.0,1.0,0.0,0.10999999999999999
0.0,24.0,1.0,0.0,0.0
0.16,34.0,1.0,0.0,0.14
