alpha,mu,lambda,participation,promote,oppose
,46.0,0.1,1.0,0.0,0.0
,50.0,0.02,1.0,0.0,0.0
,27.0,0.2,1.0,0.0,0.0
,24.0,0.22,1.0,0.0,0.0
,31.0,0.14,1.0,0.0,0.0
,29.0,0.12,1.0,0.0,0.0
,31.0,0.24,1.0,0.0,0.0
,31.0,0.18,1.0,0.0,0.0
,31.0,0.16,1.0,0.0,0.0
,47.0,0.1,1.0,0.0,0.0
,28.0,0.1,1.0,0.0,0.0
,28.0,0.2,1.0,0.0,0.0
,25.0,0.22,1.0,0.0,0.0
,32.0,0.14,1.0,0.0,0.0
,30.0,0.12,1.0,0.0,0.0
,32.0,0.24,1.0,0.0,0.0
,32.0,0.18,1.0,0.0,0.0
,32.0,0.16,1.0,0.0,0.0
,48.0,0.1,1.0,0.0,0.0
,29.0,0.1,1.0,0.0,0.0
,29.0,0.2,1.0,0.0,0.0
,47.0,0.0,1.0,0.0,0.0
,26.0,0.22,1.0,0.0,0.0
,31.0,0.12,1.0,0.0,0.0
,33.0,0.24,1.0,0.0,0.0
,33.0,0.18,1.0,0.0,0.0
,33.0,0.16,1.0,0.0,0.0
,49.0,0.1,1.0,0.0,0.0
,30.0,0.2,1.0,0.0,0.0
,30.0,0.1,1.0,0.0,0.0
,27.0,0.22,1.0,0.0,0.0
,34.0,0.24,1.0,0.0,0.0
,28.0,0.22,1.0,0.0,0.0
,34.0,0.18,1.0,0.0,0.0
,50.0,0.1,1.0,0.0,0.0
,29.0,0.22,1.0,0.0,0.0
,31.0,0.2,1.0,0.0,0.0
,48.0,0.0,1.0,0.0,0.0
,35.0,0.24,1.0,0.0,0.0
,30.0,0.22,1.0,0.0,0.0
,32.0,0.2,1.0,0.0,0.0
,49.0,0.0,1.0,0.0,0.0
,36.0,0.24,1.0,0.0,0.0
,31.0,0.22,1.0,0.0,0.0
,32.0,0.22,1.0,0.0,0.0
,33.0,0.2,1.0,0.0,0.0
,50.0,0.0,1.0,0.0,0.0
,37.0,0.24,1.0,0.0,0.0
,33.0,0.22,1.0,0.0,0.0
,34.0,0.2,1.0,0.0,0.0
,34.0,0.22,1.0,0.0,0.0
,35.0,0.2,1.0,0.0,0.0
,13.0,0.26,1.0,0.0,0.0
,39.0,0.26,1.0,0.0,0.0
,40.0,0.28,1.0,0.0,0.0
,35.0,0.22,1.0,0.0,0.0
,14.0,0.28,1.0,0.0,0.0
,14.0,0.26,1.0,0.0,0.0
,15.0,0.28,1.0,0.0,0.0
,36.0,0.22,1.0,0.0,0.0
,41.0,0.28,1.0,0.0,0.0
,40.0,0.26,1.0,0.0,0.0
,41.0,0.3,1.0,0.0,0.11000000000000001
,15.0,0.26,1.0,0.0,0.0
,15.0,0.3,1.0,0.0,0.0
,16.0,0.28,1.0,0.0,0.0
,16.0,0.32,1.0,0.0,0.0
,42.0,0.3,1.0,0.0,0.14
,42.0,0.28,1.0,0.0,0.0
,16.0,0.3,1.0,0.0,0.0
,41.0,0.26,1.0,0.0,0.0
,17.0,0.28,1.0,0.0,0.0
,17.0,0.32,1.0,0.0,0.0
